Part;Value;Device;Package;Description;MP;MPN;PACKAGE;VALUE;VENDOR
ADC1;;PINHD-1X3;1X03;PIN HEADER;;;;;
ADC2;;PINHD-1X3;1X03;PIN HEADER;;;;;
ATMEGA328P;ATMEGA328P_TQFP;ATMEGA328P_TQFP;TQFP32-08;Popular 328P in QFP;;;;ATMEGA328P_TQFP;
BATT_SENS;;PINHD-1X1;1X01;"Pin header 1x1 for 0.1 spacing""";;;;;
BMP280;BMP280;BMP280;BMP280;;;;;;
C1;4.7uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C2;4.7uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C3;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C4;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C5;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C6;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C7;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C8;10pF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C9;10pF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C10;10pF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C11;10pF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C12;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C13;4.7uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C14;1uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C15;1uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C16;1uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C17;1uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C18;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C19;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C20;4.7uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C21;4.7uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C22;10uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C23;10uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C27;4.7uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C28;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C29;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C30;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C31;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C32;10uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C33;10uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C34;1uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C35;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C36;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C37;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C38;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C39;0.47uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C40;10nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C41;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
C42;2.2uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
D1;;DIODE-DO214BA;DO214BA;DIODE;;;;;
DAC;;PINHD-1X3;1X03;PIN HEADER;;;;;
FT232RL;FT232RL;FT232RL;SSOP28;Source: http://www.ftdichip.com/Documents/DataSheets/DS_FT232R_v104.pdf;;FT232RL;;;
GIMBAL_X;;PINHD-1X3;1X03;PIN HEADER;;;;;
GIMBAL_Y;;PINHD-1X3;1X03;PIN HEADER;;;;;
GIMBAL_Z;;PINHD-1X3;1X03;PIN HEADER;;;;;
GPS;1X4-BIG;1X4-BIG;1X04-BIG;4-pin connector;;;;;
GY87;;PINHD-1X8CLEANBIG;1X08-CLEANBIG;PIN HEADER;;;;;
ICM20689;ICM-20689;ICM-20689;QFN50P400X400X95-25N;6-Axis Drone/Vr/Iot Solution (Pi);ICM-20689;;QFN-24 InvenSense;;
ICSP;AVRISP-6;AVRISP-6;AVRISP;AVR ISP HEADER;;;;;
JP1;;PINHD-1X6;1X06;PIN HEADER;;;;;
JP2;;PINHD-1X6;1X06;PIN HEADER;;;;;
JP3;;PINHD-1X6;1X06;PIN HEADER;;;;;
JP4;;PINHD-1X6;1X06;PIN HEADER;;;;;
JP5;;PINHD-1X6;1X06;PIN HEADER;;;;;
JP6;;PINHD-1X6;1X06;PIN HEADER;;;;;
JP7;;PINHD-1X6;1X06;PIN HEADER;;;;;
JP8;;PINHD-1X1;1X01;"Pin header 1x1 for 0.1 spacing""";;;;;
JTAG;;PINHD-1X6;1X06;PIN HEADER;;;;;
LED;;PINHD-1X3;1X03;PIN HEADER;;;;;
LED1;;LEDSMT1206;1206;LED;;;;;
LED2;;LEDSMT1206;1206;LED;;;;;
LED3;;LEDSMT1206;1206;LED;;;;;
LED4;;LEDSMT1206;1206;LED;;;;;
LED5;;LEDSMT1206;1206;LED;;;;;
LED6;;LEDSMT1206;1206;LED;;;;;
LM3940-3.3;LM3940IMPX-3.3/NOPB;LM3940IMPX-3.3/NOPB;SOT230P696X180-4N;Low Dropout Regulator;LM3940IMPX-3.3/NOPB;;SOT-223-4 Texas Instruments;;
M1;;PINHD-1X3;1X03;PIN HEADER;;;;;
M2;;PINHD-1X3;1X03;PIN HEADER;;;;;
M3;;PINHD-1X3;1X03;PIN HEADER;;;;;
M4;;PINHD-1X3;1X03;PIN HEADER;;;;;
NRF24L01;NRF24L01+;NRF24L01+;NRF24L01+;nRF24L01+ Transceiver Module;;;;;
OSD;1X4-BIG;1X4-BIG;1X04-BIG;4-pin connector;;;;;
OSD/USB;;PINHD-1X3;1X03;PIN HEADER;;;;;
PPM;;PINHD-1X3;1X03;PIN HEADER;;;;;
R1;10k;10KOHM-0603-1/10W-1%;603;10kΩ resistor;;;;10k;
R2;4.7k;4.7KOHM-0603-1/10W-1%;603;4.7kΩ resistor;;;;4.7k;
R3;4.7k;4.7KOHM-0603-1/10W-1%;603;4.7kΩ resistor;;;;4.7k;
R4;4.7k;4.7KOHM-0603-1/10W-1%;603;4.7kΩ resistor;;;;4.7k;
R5;4.7k;4.7KOHM-0603-1/10W-1%;603;4.7kΩ resistor;;;;4.7k;
R6;10k;10KOHM-0603-1/10W-1%;603;10kΩ resistor;;;;10k;
R7;1k;10KOHM-0603-1/10W-1%;603;10kΩ resistor;;;;10k;
R8;1k;10KOHM-0603-1/10W-1%;603;10kΩ resistor;;;;10k;
R9;1k;10KOHM-0603-1/10W-1%;603;10kΩ resistor;;;;10k;
R10;1k;10KOHM-0603-1/10W-1%;603;10kΩ resistor;;;;10k;
R11;1k;10KOHM-0603-1/10W-1%;603;10kΩ resistor;;;;10k;
R12;1k;10KOHM-0603-1/10W-1%;603;10kΩ resistor;;;;10k;
R13;10k;4.7KOHM-0603-1/10W-1%;603;4.7kΩ resistor;;;;4.7k;
RESET;;SWITCH_PUSHBUTTONC&K_KSS;BTN_CK_KSS;Buttons;;;;;
SD_CARD;2908-05WB-MG;2908-05WB-MG;3M_2908-05WB-MG;2908-05WB-MG Conn Micro S D Card HDR 8 POS 1.1mm So lder RA SMD T/R 0.5A RoHS;2908-05WB-MG;;None;;
SONIC1;1X4-BIG;1X4-BIG;1X04-BIG;4-pin connector;;;;;
SONIC2;1X4-BIG;1X4-BIG;1X04-BIG;4-pin connector;;;;;
STM32F722;STM32F7X2RXT;STM32F7X2RXT;LQFP64-10X10MM;;;;;;STMicroelectronics
TXB0104;TXB0104;TXB0104PWRSOIC14;SO14;4-Bit Bi-Directional Level Shifter;;;;TXB0104;
USB;;USB_MICRO-B_SMT;USB-MICROB;USB Type Micro-B Connector;;;;;
Y1;8MHz;CRYSTAL-8MHZSMD-5X3.2;CRYSTAL-SMD-5X3.2-4PAD;8MHz Crystal;;;;8MHz;
Y2;16MHz;CRYSTAL-16MHZSMD-5X3.2;CRYSTAL-SMD-5X3.2-4PAD;16MHz Crystal;;;;16MHz;
